,Artist,Born,Born In,Years Active,Founded In,Died
0,$NOT,16 December 1997 (age 23),"New York, New York, United States",,,
0,Tall Heights,,,2010 – present (11 years),"Boston, Suffolk County, Massachusetts, United States",
0,Zoot Sims,29 October 1925,"Inglewood, Los Angeles County, California, United States",,,23 March 1985 (aged 59)
0,Hoodie Allen,19 August 1988 (age 33),,,,
0,Slim Thug,8 September 1980 (age 41),"Houston, Harris County, Texas, United States",,,
0,The National,,,1999 – present (22 years),"Brooklyn, New York, New York, United States",
0,Bob Seger,6 May 1945 (age 76),"Lincoln Park, Wayne County, Michigan, United States",,,
0,Edoardo Vianello,24 June 1938 (age 83),"Rome, Roma, Lazio, Italy",,,
0,Neon Indian,,,2008 – present (13 years),"Denton, Denton County, Texas, United States",
0,Parov Stelar,27 November 1974 (age 46),"Linz, Oberösterreich, Austria",,,
0,Andrew Broder,,"Minneapolis, Hennepin County, Minnesota, United States",,,
0,Allan Rayman,,"Lost Springs, Converse County, Wyoming, United States",,,
0,Deante' Hitchcock,10 March 1993 (age 28),,,,
0,Bladee,9 April 1994 (age 27),"Stockholms län, Sweden",,,
0,No Rome,,"National Capital Region, Philippines",,,
0,Tkay Maidza,17 December 1995 (age 25),"Harare, Zimbabwe",,,
0,Benjamin Francis Leftwich,4 September 1989 (age 32),"York, England, United Kingdom",,,
0,Scott McKenzie,10 January 1939,"Jacksonville, Duval County, Florida, United States",,,18 August 2012 (aged 73)
0,Bob Dylan,24 May 1941 (age 80),"Duluth, St. Louis County, Minnesota, United States",,,
0,The Fleetwoods,,,1958 – 1983 (25 years),"Olympia, Thurston County, Washington, United States",
0,TWENTY88,,,2016 – present (5 years),"California, United States",
0,Alexandre Desplat,23 August 1961 (age 60),"Paris, Île-de-France, France",,,
0,Kavinsky,31 July 1975 (age 46),"Paris, Île-de-France, France",,,
0,Paul Haslinger,11 December 1962 (age 58),"Linz, Oberösterreich, Austria",,,
0,Disasterpeace,29 June 1986 (age 35),"Staten Island, New York, New York, United States",,,
0,MorMor,1992 (age 29),"Toronto, Ontario, Canada",,,
0,Nicotine,,,1993 – present (28 years),"Chiba, Chiba, Japan",
0,Zayn,12 January 1993 (age 28),"Bradford, Bradford, West Yorkshire, England, United Kingdom",,,
0,Hazel English,27 November 1990 (age 30),"Sydney, New South Wales, Australia",,,
0,Day Wave,2015 (age 6),"Oakland, Alameda County, California, United States",,,
0,Trey Songz,28 November 1984 (age 36),"Petersburg, Virginia, United States",,,
0,Usher,14 October 1978 (age 42),"Dallas, Dallas County, Texas, United States",,,
0,Katy Perry,25 October 1984 (age 36),"Santa Barbara, Santa Barbara County, California, United States",,,
0,Ne-Yo,18 October 1979 (age 41),"Camden, Ouachita County, Arkansas, United States",,,
0,Leona Lewis,3 April 1985 (age 36),"Islington, London, England, United Kingdom",,,
0,Kesha,1 March 1987 (age 34),"Los Angeles, Los Angeles County, California, United States",,,
0,Nelly Furtado,2 December 1978 (age 42),"Victoria, Capital Regional District, British Columbia, Canada",,,
0,Janet Jackson,16 May 1966 (age 55),"Gary, Lake County, Indiana, United States",,,
0,Dej Loaf,8 April 1991 (age 30),"Warren, Macomb County, Michigan, United States",,,
0,Hippie Sabotage,,,,"Sacramento, Sacramento County, California, United States",
0,Black Pumas,,,2017 – present (4 years),"Austin, Travis County, Texas, United States",
0,Buddy Holly,7 September 1936,"Lubbock, Lubbock County, Texas, United States",,,3 February 1959 (aged 22)
0,Young T & Bugsey,,,2012 – present (9 years),"Nottingham, England, United Kingdom",
0,Paul Epworth,25 July 1974 (age 47),"Bishop's Stortford, Hertfordshire, England, United Kingdom",,,
0,BØRNS,7 January 1992 (age 29),"Grand Haven, Ottawa County, Michigan, United States",,,
0,Florence + the Machine,,,2007 – present (14 years),"London, England, United Kingdom",
0,MisterWives,,,2012 – present (9 years),"New York, New York, United States",
0,FINNEAS,30 July 1997 (age 24),"Los Angeles, Los Angeles County, California, United States",,,
0,Surfaces,,,2017 – present (4 years),"College Station, Brazos County, Texas, United States",
0,Smith Westerns,,,2007 – 2014 (7 years),"Chicago, Cook County, Illinois, United States",
0,Tom Petty,20 October 1950,"Gainesville, Alachua County, Florida, United States",,,2 October 2017 (aged 66)
0,INXS,,,1977 – 2012 (35 years),"Sydney, New South Wales, Australia",
0,The Human League,,,1977 – present (44 years),"Sheffield, South Yorkshire, England, United Kingdom",
0,Def Leppard,,,1977 – present (44 years),"Sheffield, South Yorkshire, England, United Kingdom",
0,Simply Red,,,1985 – present (36 years),"Manchester, Greater Manchester, England, United Kingdom",
0,Sky Ferreira,8 July 1992 (age 29),"Venice, Los Angeles, Los Angeles County, California, United States",,,
0,Queens of the Stone Age,,,1996 – present (25 years),"Palm Desert, Riverside County, California, United States",
0,Death Grips,,,2010 – present (10 years),"Sacramento, Sacramento County, California, United States",
0,CHVRCHES,,,2011 – present (10 years),"Glasgow, Scotland, United Kingdom",
0,Kerri Chandler,28 September 1969 (age 51),"East Orange, Essex County, New Jersey, United States",,,
0,Mija,30 May 1992 (age 29),"Phoenix, Maricopa County, Arizona, United States",,,
0,Ludwig van Beethoven,17 December 1770,"Bonn, Nordrhein-Westfalen, Germany",,,26 March 1827 (aged 56)
0,The Groundhogs,,,1963 – present (58 years),"New Cross, Lewisham, London, England, United Kingdom",
0,George Gershwin,26 September 1898,"Brooklyn, New York, New York, United States",,,11 July 1937 (aged 38)
0,Ralph Vaughan Williams,12 October 1872,"Gloucestershire, England, United Kingdom",,,26 August 1958 (aged 85)
0,Johann Sebastian Bach,21 March 1685,"Eisenach, Thüringen, Germany",,,28 July 1750 (aged 65)
0,The Microphones,,,1996 – 2003 (7 years),"Anacortes, Skagit County, Washington, United States",
0,The Killers,,,2001 – present (20 years),"Las Vegas, Clark County, Nevada, United States",
0,Bill Evans Trio,,,1959 – 1980 (21 years),,
0,Weval,,,,"Amsterdam, Noord-Holland, Netherlands",
0,The Blaze,,,2015 – present (6 years),,
0,Miles Davis,26 May 1926,"Alton, Madison County, Illinois, United States",,,28 September 1991 (aged 65)
0,Trudy and the Romance,,,2014 – present (7 years),,
0,Quelle Chris,19 October 1984 (age 36),"New York, New York, United States",,,
0,Joy Again,,,,"Philadelphia, Philadelphia County, Pennsylvania, United States",
0,Billy Woods,,"Washington, D.C., United States",,,
0,Wes Montgomery,6 March 1923,"Indianapolis, Marion County, Indiana, United States",,,15 June 1968 (aged 45)
0,Max Frost,5 July 1992 (age 29),"Austin, Travis County, Texas, United States",,,
0,Psychedelic Porn Crumpets,,,2014 – present (7 years),"Perth, Western Australia, Australia",
0,Vance Joy,1 December 1987 (age 33),"Melbourne, Victoria, Australia",,,
0,Diddy,4 November 1969 (age 51),"Harlem, Manhattan, New York, New York, United States",,,
0,Gardens & Villa,,,2008 – present (13 years),"Santa Barbara, Santa Barbara County, California, United States",
0,Reaper,,,2016 – present (5 years),"Melbourne, Victoria, Australia",
0,mxmtoon,9 July 2000 (age 21),"Oakland, Alameda County, California, United States",,,
0,American Football,,,1997 – present (24 years),"Urbana, Champaign County, Illinois, United States",
0,Sunni Colon,,"Los Angeles, Los Angeles County, California, United States",,,
0,Extreme,,,1985 – present (36 years),"Boston, Suffolk County, Massachusetts, United States",
0,SOB x RBE,,,2015 – present (6 years),"Vallejo, Solano County, California, United States",
0,Guided by Voices,,,1983 – 2014 (31 years),"Dayton, Montgomery County, Ohio, United States",
0,Blu & Exile,,,2007 – present (14 years),"Los Angeles, Los Angeles County, California, United States",
0,A. K. Paul,1986 (age 35),,,,
0,Lights & Motion,,,2012 – present (9 years),"Gothenburg, Västra Götaland, Sweden",
0,Trevor Powers,18 March 1989 (age 32),"Boise, Ada County, Idaho, United States",,,
0,Arca,14 October 1989 (age 31),"Caracas, Venezuela",,,
0,Mojave 3,,,1994 – present (27 years),"London, England, United Kingdom",
0,Tobacco,,"Pittsburgh, Allegheny County, Pennsylvania, United States",,,
0,Natalia Lafourcade,26 February 1984 (age 37),"Coatepec, Veracruz, Mexico",,,
0,Protomartyr,,,2008 – present (13 years),"Detroit, Wayne County, Michigan, United States",
0,TORRES,23 January 1991 (age 30),"Georgia, United States",,,
0,J Balvin,7 May 1985 (age 36),"Medellín, Antioquia, Colombia",,,
0,Tiga,1974 (age 47),"Montreal, Montreal, Quebec, Canada",,,
0,Maya Jane Coles,1988 (age 33),"London, England, United Kingdom",,,
0,Al Green,13 April 1946 (age 75),"Forrest City, St. Francis County, Arkansas, United States",,,
0,Noel Gallagher's High Flying Birds,,,2011 – present (10 years),"Manchester, Greater Manchester, England, United Kingdom",
0,Nothing But Thieves,,,2012 – present (9 years),"Southend-on-Sea, England, United Kingdom",
0,Panic! at the Disco,,,2004 – present (17 years),"Las Vegas, Clark County, Nevada, United States",
0,Alice in Chains,,,1987 – present (34 years),"Seattle, King County, Washington, United States",
0,Stone Temple Pilots,,,1990 – present (31 years),"San Diego, San Diego County, California, United States",
0,Last Train,,,2007 – present (14 years),"Altenach, Haut-Rhin, Grand Est, France",
0,Sam Fender,25 April 1994 (age 27),"North Shields, North Tyneside, Tyne and Wear, England, United Kingdom",,,
0,Kate Bollinger,,"Charlottesville, Virginia, United States",,,
0,August Alsina,3 September 1992 (age 29),"New Orleans, Louisiana, United States",,,
0,Troye Sivan,5 June 1995 (age 26),"Johannesburg, Gauteng, South Africa",,,
0,San Holo,26 November 1990 (age 30),"Zoetermeer, Zuid-Holland, Netherlands",,,
0,The Blank Tapes,,,2003 – present (18 years),"Los Angeles, Los Angeles County, California, United States",
0,Purple Mountains,4 January 1967,"Williamsburg, Virginia, United States",,,7 August 2019 (aged 52)
0,The Six Parts Seven,,,1995 – 2008 (13 years),"Kent, Portage County, Ohio, United States",
0,berhana,,"Atlanta, Fulton County, Georgia, United States",,,
0,Tropea,7 January 1946 (age 75),"New York, New York, United States",,,
0,Hot Chip,,,2000 – present (21 years),"London, England, United Kingdom",
0,Jamie xx,28 October 1988 (age 32),"London, England, United Kingdom",,,
0,Ratatat,,,2001 – present (20 years),"Brooklyn, New York, New York, United States",
0,The Game,27 November 1979 (age 41),"Los Angeles, Los Angeles County, California, United States",,,
0,The Head and the Heart,,,2009 – present (12 years),"Seattle, King County, Washington, United States",
0,Big Mama Thornton,11 December 1926,"Ariton, Dale County, Alabama, United States",,,25 July 1984 (aged 57)
0,Arkells,,,2006 – present (15 years),"Hamilton, Ontario, Canada",
0,Kane Brown,21 October 1993 (age 27),"Chattanooga, Hamilton County, Tennessee, United States",,,
0,Diplo,10 November 1978 (age 42),"Tupelo, Lee County, Mississippi, United States",,,
0,Tory Lanez,27 July 1992 (age 29),"Brampton, Regional Municipality of Peel, Ontario, Canada",,,
0,Joe Goddard,1973 (age 48),"London, England, United Kingdom",,,
0,Catherine Feeny,1976 (age 45),"Philadelphia, Philadelphia County, Pennsylvania, United States",,,
0,The Charlie Daniels Band,,,1972 – present (49 years),"Nashville, Davidson County, Tennessee, United States",
0,Powfu,31 March 1999 (age 22),"Vancouver, Metro Vancouver, British Columbia, Canada",,,
0,Sister Nancy,2 January 1962 (age 59),,,,
0,Gotye,21 May 1980 (age 41),"Brugge, West-Vlaanderen, Flanders, Belgium",,,
0,Rappin' 4-Tay,2 March 1968 (age 53),"San Francisco, California, United States",,,
0,Battles,,,2002 – present (19 years),"New York, New York, United States",
0,fun.,,,2008 – present (13 years),"New York, New York, United States",
0,The Chieftains,,,1962 – present (59 years),"Dublin, County Dublin, Leinster, Ireland",
0,The Brian Jonestown Massacre,,,1990 – present (31 years),"San Francisco, California, United States",
0,Rolling Blackouts Coastal Fever,,,2013 – present (8 years),"Melbourne, Victoria, Australia",
0,Higher Power,,,2015 – present (6 years),"Leeds, Leeds, West Yorkshire, England, United Kingdom",
0,Cub Sport,,,2010 – present (11 years),"Brisbane, Queensland, Australia",
0,Polo & Pan,,,2012 – present (9 years),"Paris, Île-de-France, France",
0,Braids,,,2006 – present (15 years),"Calgary, Alberta, Canada",
0,Belle & Sebastian,,,1996 – present (25 years),"Glasgow, Scotland, United Kingdom",
0,The Notorious B.I.G.,21 May 1972,"Clinton Hill, Brooklyn, New York, New York, United States",,,9 March 1997 (aged 24)
0,Richy Mitch & The Coal Miners,,,2015 – present (6 years),"Colorado Springs, El Paso County, Colorado, United States",
0,The Toxic Avenger,18 April 1982 (age 39),"Paris, Île-de-France, France",,,
0,Here We Go Magic,,,2008 – present (13 years),"Brooklyn, New York, New York, United States",
0,Ercos Blanka,25 November 1988 (age 32),"Soresina, Cremona, Lombardia, Italy",,,
0,Frameworks,,,2011 – present (10 years),"Gainesville, Alachua County, Florida, United States",
0,Ran the Man,2019 (age 2),"Stockholm, Stockholm municipality, Stockholms län, Sweden",,,
0,T. Rex,,,1967 – 1977 (10 years),"London, England, United Kingdom",
0,Girlpool,,,2013 – present (8 years),"Los Angeles, Los Angeles County, California, United States",
0,Beach Goons,,,2014 – present (7 years),"San Diego, San Diego County, California, United States",
0,Dune Rats,,,2011 – present (10 years),"Brisbane, Queensland, Australia",
0,P.S. Eliot,,,2007 – 2011 (4 years),"Birmingham, Jefferson County, Alabama, United States",
0,Stello,,,,"New York, New York, United States",
0,Laura Stevenson,25 April 1984 (age 37),"Manhattan, New York, New York, United States",,,
0,Hiss Golden Messenger,,,2007 – present (14 years),"North Carolina, United States",
0,The Dream Academy,,,1983 – 1991 (8 years),"London, England, United Kingdom",
0,ROSALÍA,25 September 1993 (age 27),"Sant Esteve Sesrovires, Barcelona, Catalunya, Spain",,,
0,The Black Skirts,5 December 1982 (age 38),"Seoul, Korea, Republic of",,,
0,Scout Niblett,29 August 1973 (age 48),"Stone, Staffordshire, England, United Kingdom",,,
0,Styx,,,1970 – present (51 years),"Chicago, Cook County, Illinois, United States",
0,The Tragically Hip,,,1983 – 2016 (33 years),"Kingston, Frontenac County, Ontario, Canada",
0,Mystery Skulls,,,2011 – present (10 years),"Dallas, Dallas County, Texas, United States",
0,The M Machine,,,2011 – present (10 years),"San Francisco, California, United States",
0,Isaac Delusion,,,2010 – present (11 years),,
0,Flavien Berger,2 July 1986 (age 35),"Paris, Île-de-France, France",,,
0,Juniore,,,2013 – present (8 years),"Paris, Île-de-France, France",
0,Laurel Halo,3 June 1985 (age 36),"Ann Arbor, Washtenaw County, Michigan, United States",,,
0,Courtney Barnett,3 November 1987 (age 33),"Sydney, New South Wales, Australia",,,
0,The Jesus and Mary Chain,,,1984 – present (37 years),"East Kilbride, South Lanarkshire, Scotland, United Kingdom",
0,Small Black,,,2009 – present (12 years),"Brooklyn, New York, New York, United States",
0,Jon Hopkins,15 August 1979 (age 42),"Kingston upon Thames, Kingston upon Thames, London, England, United Kingdom",,,
0,Com Truise,1985 (age 36),"Oneida, Madison County, New York, United States",,,
0,Sébastien Tellier,22 February 1975 (age 46),"Le Plessis-Bouchard, Val-d'Oise, Île-de-France, France",,,
0,Mannheim Steamroller,,,1974 – present (47 years),"Omaha, Douglas County, Nebraska, United States",
0,Steve Jablonsky,9 October 1970 (age 50),"Los Angeles, Los Angeles County, California, United States",,,
0,Mount Eerie,,,2003 – present (18 years),"Anacortes, Skagit County, Washington, United States",
0,Jeff Mangum,24 October 1970 (age 50),"Ruston, Lincoln Parish, Louisiana, United States",,,
0,Janne Schra,21 December 1981 (age 39),,,,
0,Wild Nothing,,"Blacksburg, Montgomery County, Virginia, United States",,,
0,(Sandy) Alex G,3 February 1993 (age 28),,,,
0,Black Coffee,11 March 1976 (age 45),"Durban, KwaZulu-Natal, South Africa",,,
0,of Montreal,,,1996 – present (25 years),"Athens, Clarke County, Georgia, United States",
0,Sixteen,,,1997 – present (24 years),,
0,Yehezkel Raz,,"Tel Aviv, Tel-Aviv, Israel",,,
0,Patrick Watson,8 October 1979 (age 41),"Lancaster, Los Angeles County, California, United States",,,
0,Purrple Cat,8 December 2018 (age 2),,,,
0,Sigur Rós,,,1994 – present (27 years),"Reykjavík, Höfuðborgarsvæðið, Iceland",
0,Kyle Dion,,"New Haven, New Haven County, Connecticut, United States",,,
0,Fred & The Healers,,,1994 – present (27 years),"Les Bons Villers, Hainaut, Wallonie, Belgium",
0,Buddy Guy,30 July 1936 (age 85),"Lettsworth, Pointe Coupee Parish, Louisiana, United States",,,
0,Buster Benton,19 July 1932,"Texarkana, Bowie County, Texas, United States",,,20 January 1996 (aged 63)
0,Mikael Rickfors,4 December 1948 (age 72),"Stockholm, Stockholm municipality, Stockholms län, Sweden",,,
0,Willie Dixon,1 July 1915,"Vicksburg, Warren County, Mississippi, United States",,,29 January 1992 (aged 76)
0,Albert Cummings,1968 (age 53),"Williamstown, Berkshire County, Massachusetts, United States",,,
0,Clay Walker,19 August 1969 (age 52),,,,
0,Sundara Karma,,,2011 – present (10 years),"Reading, England, United Kingdom",
0,Paolo Nutini,9 January 1987 (age 34),"Paisley, Renfrewshire, Scotland, United Kingdom",,,
0,Fiona Apple,13 September 1977 (age 44),"Manhattan, New York, New York, United States",,,
0,Blossoms,,,2013 – present (8 years),"Stockport, Stockport, Greater Manchester, England, United Kingdom",
0,Mr Twin Sister,,,2008 – present (13 years),"Long Island, New York, United States",
0,Rayland Baxter,,"Bon Aqua, Hickman County, Tennessee, United States",,,
0,Kevin Krauter,,"Indiana, United States",,,
0,Helado Negro,1980 (age 41),"Fort Lauderdale, Broward County, Florida, United States",,,
0,Diet Cig,,,2014 – present (7 years),"New Paltz, Ulster County, New York, United States",
0,NOFX,,,1983 – present (38 years),"Los Angeles, Los Angeles County, California, United States",
0,Ant Clemons,,"New Jersey, United States",,,
0,Alan Price,19 April 1942 (age 79),,,,
0,My Bloody Valentine,,,1983 – present (38 years),"Dublin, County Dublin, Leinster, Ireland",
0,Stormzy,26 July 1993 (age 28),"Thornton Heath, Croydon, London, England, United Kingdom",,,
0,J Hus,26 May 1996 (age 25),"Stratford, Newham, London, England, United Kingdom",,,
0,Tei Shi,4 October 1990 (age 30),"Buenos Aires, Argentina",,,
0,The Devil Makes Three,,,2002 – present (19 years),"Santa Cruz, Santa Cruz County, California, United States",
0,Colter Wall,27 June 1995 (age 26),"Saskatchewan, Canada",,,
0,Ennio Morricone,10 November 1928,"Rome, Roma, Lazio, Italy",,,6 July 2020 (aged 91)
0,Jim Croce,10 January 1943,"Philadelphia, Philadelphia County, Pennsylvania, United States",,,20 September 1973 (aged 30)
0,Sebastián Escofet,4 July 1968 (age 53),"La Plata, Buenos Aires, Argentina",,,
0,The Fratellis,,,2005 – present (16 years),"Glasgow, Scotland, United Kingdom",
0,Kansas,,,1970 – present (51 years),"Topeka, Shawnee County, Kansas, United States",
0,Oscar Peterson,15 August 1925,"Montreal, Montreal, Quebec, Canada",,,23 December 2007 (aged 82)
0,Eldar Djangirov,28 January 1987 (age 34),,,,
0,Jacob Karlzon,19 October 1970 (age 50),"Jönköping, Jönköping Municipality, Jönköping, Sweden",,,
0,Esbjörn Svensson Trio,,,1990 – 2008 (18 years),,
0,Justin Hurwitz,22 January 1985 (age 36),"Los Angeles, Los Angeles County, California, United States",,,
0,Jeremy Soule,19 December 1975 (age 45),"Keokuk, Lee County, Iowa, United States",,,
0,Allah-Las,,,2008 – present (13 years),"Los Angeles, Los Angeles County, California, United States",
0,Carter Ace,16 July 1998 (age 23),"Los Angeles, Los Angeles County, California, United States",,,
0,El Michels Affair,,,2001 – present (20 years),"New York, United States",
0,Miles Kane,17 March 1986 (age 35),"Birkenhead, Wirral, Merseyside, England, United Kingdom",,,
0,Damien Rice,7 December 1973 (age 47),"Celbridge, County Kildare, Leinster, Ireland",,,
0,Julia Stone,13 April 1984 (age 37),"Sydney, New South Wales, Australia",,,
0,The Stooges,,,1967 – present (54 years),"Ann Arbor, Washtenaw County, Michigan, United States",
0,Guns N' Roses,,,1985 – present (36 years),"Los Angeles, Los Angeles County, California, United States",
0,Sex Pistols,,,1975 – 1978 (2 years),"London, England, United Kingdom",
0,R.A.P. Ferreira,3 February 1992 (age 29),"Chicago, Cook County, Illinois, United States",,,
0,The Kooks,,,2004 – present (17 years),"Brighton, Brighton and Hove, England, United Kingdom",
0,Circa Waves,,,2013 – present (8 years),"Liverpool, Merseyside, England, United Kingdom",
0,Robyn,12 June 1979 (age 42),"Stockholm, Stockholm municipality, Stockholms län, Sweden",,,
0,Carly Rae Jepsen,21 November 1985 (age 35),"Mission, Fraser Valley Regional District, British Columbia, Canada",,,
0,Barry Manilow,17 June 1943 (age 78),"Brooklyn, New York, New York, United States",,,
0,The Builders and the Butchers,,,2005 – present (15 years),"Portland, Multnomah County, Oregon, United States",
0,Dan Croll,18 July 1990 (age 31),"Newcastle-under-Lyme, Staffordshire, England, United Kingdom",,,
0,Matt Schofield,21 August 1977 (age 44),,,,
0,Richie Havens,21 January 1941,"Brooklyn, New York, New York, United States",,,22 April 2013 (aged 72)
0,Billy Munn,12 May 1911,,,,2 May 2000 (aged 88)
0,Eagles,,,1971 – present (50 years),"Los Angeles, Los Angeles County, California, United States",
0,Seals And Crofts,,,1969 – 1980 (11 years),"Los Angeles, Los Angeles County, California, United States",
0,Peter Sarstedt,10 December 1941,"Delhi, India",,,8 January 2017 (aged 75)
0,The Lively Ones,,,1962 – present (59 years),"Los Angeles, Los Angeles County, California, United States",
0,Jessica Pratt,1987 (age 34),"Redding, Shasta County, California, United States",,,
0,Julia Jacklin,30 August 1990 (age 31),"New South Wales, Australia",,,
0,Jadakiss,27 May 1975 (age 46),"Yonkers, Westchester County, New York, United States",,,
0,San Cisco,,,2009 – present (12 years),,
0,The Lonely Island,,,2001 – present (20 years),,
0,Vinnie Paz,5 October 1977 (age 43),"Agrigento, Agrigento, Sicilia, Italy",,,
0,Upsahl,28 November 1998 (age 22),"Phoenix, Maricopa County, Arizona, United States",,,
0,The Chainsmokers,,,2012 – present (9 years),"New York, New York, United States",
0,Wet,,,2012 – present (9 years),"Brooklyn, New York, New York, United States",
0,Orangutang,,,1993 – present (28 years),"Boston, Suffolk County, Massachusetts, United States",
0,Mild High Club,,,2013 – present (8 years),"Chicago, Cook County, Illinois, United States",
0,Olivia O'Brien,26 November 1999 (age 21),"Thousand Oaks, Ventura County, California, United States",,,
0,Roger Eno,1959 (age 62),"Woodbridge, Suffolk, England, United Kingdom",,,
0,Maverick Sabre,12 July 1990 (age 31),"Hackney, London, England, United Kingdom",,,
0,Maggie Rogers,25 April 1994 (age 27),"Easton, Talbot County, Maryland, United States",,,
0,Lil B,17 August 1989 (age 32),"Berkeley, Alameda County, California, United States",,,
0,Houses,,,2009 – 2014 (5 years),,
0,Weather Report,,,1971 – 1986 (15 years),"New York, New York, United States",
0,LVL UP,,,2011 – 2018 (7 years),"Purchase, Harrison, Westchester County, New York, United States",
0,river roots,,,2013 – present (8 years),"Port Macquarie, New South Wales, Australia",
0,Mr Hudson,26 June 1979 (age 42),"Birmingham, West Midlands, England, United Kingdom",,,
0,Fontaines D.C.,,,2017 – present (4 years),"Dublin, County Dublin, Leinster, Ireland",
0,G Herbo,8 November 1994 (age 26),"Chicago, Cook County, Illinois, United States",,,
0,Robert Petway,18 October 1908,"Yazoo City, Yazoo County, Mississippi, United States",,,May 1978 (aged 69)
0,From Indian Lakes,,,2009 – present (12 years),,
0,Cluster,,,2004 – present (17 years),,
0,Nap Eyes,,,2011 – present (10 years),"Halifax, Nova Scotia, Canada",
0,Daniel Herskedal,2 April 1982 (age 39),"Molde, Møre og Romsdal, Norway",,,
0,Still Corners,,,2007 – present (14 years),"London, England, United Kingdom",
0,Worm Ouroboros,,,2007 – present (14 years),"San Francisco, California, United States",
0,Fairport Convention,,,1967 – present (54 years),"London, England, United Kingdom",
0,Andy Mineo,17 April 1988 (age 33),"Syracuse, Onondaga County, New York, United States",,,
0,Guaynaa,16 September 1992 (age 29),"Caguas, Puerto Rico",,,
0,heRobust,12 July 1987 (age 34),"Atlanta, Fulton County, Georgia, United States",,,
0,BabyJake,,"Fort Myers, Lee County, Florida, United States",,,
0,Wolf Parade,,,2003 – present (18 years),"Montreal, Montreal, Quebec, Canada",
0,Shankar Jaikishan,,,1949 – 1987 (38 years),,
0,Leroy Carr,27 March 1905,"Nashville, Davidson County, Tennessee, United States",,,29 April 1935 (aged 30)
0,Justin Timberlake,31 January 1981 (age 40),"Memphis, Shelby County, Tennessee, United States",,,
0,Bon Jovi,,,1983 – present (38 years),"Sayreville, Middlesex County, New Jersey, United States",
0,Die Antwoord,,,2008 – present (13 years),,
0,Wax Tailor,19 July 1975 (age 46),"Vernon, Eure, Normandie, France",,,
0,Julia Holter,18 December 1984 (age 36),"Los Angeles, Los Angeles County, California, United States",,,
0,Luna Luna,,,2005 – present (16 years),,
0,Macklemore & Ryan Lewis,,,2009 – present (12 years),"Seattle, King County, Washington, United States",
0,Lil Dicky,15 March 1988 (age 33),"Cheltenham, Montgomery County, Pennsylvania, United States",,,
0,Clean Bandit,,,2008 – present (13 years),"Cambridge, Cambridgeshire, England, United Kingdom",
0,Taj Mahal,17 May 1942 (age 79),"Harlem, Manhattan, New York, New York, United States",,,
0,Henrik Freischlader,3 November 1982 (age 38),"Cologne, Nordrhein-Westfalen, Germany",,,
0,Dan Romer,1949 (age 72),"New York, United States",,,
0,Jonny Lang,29 January 1981 (age 40),"Fargo, Cass County, North Dakota, United States",,,
0,Robben Ford,16 December 1951 (age 69),"Ukiah, Mendocino County, California, United States",,,
0,Samantha Fish,30 January 1989 (age 32),"Kansas City, Jackson County, Missouri, United States",,,
0,Climax Blues Band,,,1968 – present (53 years),"Stafford, Staffordshire, England, United Kingdom",
0,John Littlejohn,16 April 1931,"Mississippi, United States",,,1 February 1994 (aged 62)
0,Barbara Morrison,10 September 1952 (age 69),"Ypsilanti, Washtenaw County, Michigan, United States",,,
0,Royal Crown Revue,,,1989 – present (32 years),"Los Angeles, Los Angeles County, California, United States",
0,Joe Henry,2 December 1960 (age 60),"Charlotte, Mecklenburg County, North Carolina, United States",,,
0,Mustard,5 June 1990 (age 31),"Los Angeles, Los Angeles County, California, United States",,,
0,Bruce Springsteen,23 September 1949 (age 71),"Long Branch, Monmouth County, New Jersey, United States",,,
0,Prateek Kuhad,3 March 1990 (age 31),"Jaipur, Rajasthan, India",,,
0,Alicia Keys,25 January 1981 (age 40),"Manhattan, New York, New York, United States",,,
0,Koffee,16 February 2000 (age 21),,,,
0,Mavis Staples,10 July 1939 (age 82),"Chicago, Cook County, Illinois, United States",,,
0,Ozuna,13 March 1992 (age 29),"San Juan, Puerto Rico",,,
0,Burna Boy,2 July 1991 (age 30),"Rivers, Nigeria",,,
0,The Highwomen,,,2019 – present (2 years),,
0,Beth Hart,24 January 1972 (age 49),"Los Angeles, Los Angeles County, California, United States",,,
0,Corey Stevens,6 August 1954 (age 67),"Centralia, Marion County, Illinois, United States",,,
0,Christian Willisohn,22 January 1962 (age 59),"Munich, Bayern, Germany",,,
0,Kal David,15 June 1943 (age 78),"Chicago, Cook County, Illinois, United States",,,
0,Murali Coryell,27 October 1969 (age 51),,,,
0,Guy Davis,12 May 1952 (age 69),"New York, New York, United States",,,
0,Grayson Capps,17 April 1967 (age 54),"Opelika, Lee County, Alabama, United States",,,
0,Ella Fitzgerald,25 April 1917,"Newport News, Virginia, United States",,,15 June 1996 (aged 79)
0,Talib Kweli,3 October 1975 (age 45),"Brooklyn, New York, New York, United States",,,
0,clipping.,,,2009 – present (12 years),"Los Angeles, Los Angeles County, California, United States",
0,Shabazz Palaces,,,2009 – present (12 years),"Seattle, King County, Washington, United States",
0,METZ,,,2008 – present (13 years),"Toronto, Ontario, Canada",
0,The Clash,,,1976 – 1986 (10 years),"London, England, United Kingdom",
0,JACKBOYS,,,2019 – present (2 years),,
0,Naza,26 May 1993 (age 28),"Amiens, Somme, Hauts-de-France, France",,,
0,Angèle,3 December 1995 (age 25),"Linkebeek, Vlaams-Brabant, Flanders, Belgium",,,
